"","id","primary.type","arrest","domestic","beat","year","latitude","longitude","optional"
"211",1539,"HOMICIDE","true","false",2024,2002,41.970251161,-87.654849094,TRUE
"212",24470,"HOMICIDE","true","false",2234,2019,41.687128541,-87.664828494,TRUE
"213",24754,"HOMICIDE","false","false",1115,2019,41.880660786,-87.731186405,TRUE
"214",24753,"HOMICIDE","false","false",1115,2019,41.880660786,-87.731186405,TRUE
"215",24755,"HOMICIDE","false","false",1115,2019,41.880660786,-87.731186405,TRUE
"216",24756,"HOMICIDE","false","false",522,2019,41.677963533,-87.628270027,TRUE
"217",24757,"HOMICIDE","false","false",624,2019,41.757992905,-87.606613524,TRUE
"218",24758,"HOMICIDE","true","false",531,2019,41.689875069,-87.622216076,TRUE
"219",24761,"HOMICIDE","false","false",1412,2019,41.936274201,-87.712400898,TRUE
"220",24759,"HOMICIDE","false","false",632,2019,41.743240897,-87.603797174,TRUE
"221",24760,"HOMICIDE","false","false",524,2019,41.672564046,-87.65634098,TRUE
"222",24766,"HOMICIDE","false","false",1234,2019,41.85434512,-87.678352471,TRUE
"223",24765,"HOMICIDE","false","false",225,2019,41.794325001,-87.624693192,TRUE
"224",24764,"HOMICIDE","false","false",1122,2019,41.88336693,-87.72086759,TRUE
"225",24763,"HOMICIDE","false","false",323,2019,41.760093457,-87.622592241,TRUE
"226",24767,"HOMICIDE","false","false",2233,2019,41.687820092,-87.636187615,TRUE
"227",24770,"HOMICIDE","true","false",1131,2019,41.874223643,-87.736082537,TRUE
"228",24768,"HOMICIDE","false","false",731,2019,41.764425201,-87.628137962,TRUE
"229",24771,"HOMICIDE","true","false",423,2019,41.743851944,-87.562464188,TRUE
"230",24769,"HOMICIDE","false","false",731,2019,41.766544129,-87.628191736,TRUE
"231",24773,"HOMICIDE","false","false",1111,2019,41.894496091,-87.745792225,TRUE
"232",24772,"HOMICIDE","false","false",324,2019,41.765619127,-87.580586386,TRUE
"233",24432,"HOMICIDE","true","false",2232,2019,41.711714647,-87.642954141,TRUE
"234",24774,"HOMICIDE","false","false",1522,2019,41.880281544,-87.762241303,TRUE
"235",24775,"HOMICIDE","false","false",2412,2019,41.998438231,-87.692342962,TRUE
"236",24776,"HOMICIDE","false","false",1014,2019,41.856059573,-87.719971925,TRUE
"237",24780,"HOMICIDE","false","false",1032,2019,41.838037246,-87.712173487,TRUE
"238",1710,"HOMICIDE","true","false",133,2002,41.839292845,-87.625169769,TRUE
"239",24778,"HOMICIDE","false","false",232,2019,41.78836534,-87.626625255,TRUE
"240",24779,"HOMICIDE","true","true",1122,2019,41.881088655,-87.720764494,TRUE
"241",24783,"HOMICIDE","true","true",2413,2019,41.995110343,-87.675509533,TRUE
"242",24781,"HOMICIDE","false","false",823,2019,41.777197552,-87.699800846,TRUE
"243",24782,"HOMICIDE","false","false",712,2019,41.786168201,-87.652239441,TRUE
"244",24784,"HOMICIDE","false","false",2534,2019,41.909071134,-87.728946677,TRUE
"245",24785,"HOMICIDE","false","false",1512,2019,41.882164833,-87.770729386,TRUE
"246",24786,"HOMICIDE","true","false",533,2019,41.655199016,-87.602321563,TRUE
"247",24788,"HOMICIDE","false","false",532,2019,41.668187419,-87.620580869,TRUE
"248",24798,"HOMICIDE","false","false",722,2019,41.775380274,-87.631698738,TRUE
